Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-11-21 12:10,Long Exit,2667.5,37,98823.3,-1406,-0.14,1961,0.20,-1332,-0.13,-1406,-0.14
1,Entry long,2024-11-21 10:10,Long,2670.9,37,98823.3,-1406,-0.14,1961,0.20,-1332,-0.13,-1406,-0.14
2,Exit long,2024-11-21 15:45,Long Exit,2669.1,37,98649.4,925,0.09,2886,0.29,-999,-0.10,-481,-0.05
2,Entry long,2024-11-21 13:00,Long,2666.2,37,98649.4,925,0.09,2886,0.29,-999,-0.10,-481,-0.05
3,Exit long,2024-11-21 21:00,EOD Close 21:00 UTC,2673.8,37,98690.1,2257,0.23,3256,0.33,-1221,-0.12,1776,0.18
3,Entry long,2024-11-21 16:45,Long,2667.3,37,98690.1,2257,0.23,3256,0.33,-1221,-0.12,1776,0.18
4,Exit long,2024-11-22 05:30,Long Exit,2687.6,37,99097.1,3293,0.33,6105,0.62,-370,-0.04,5069,0.51
4,Entry long,2024-11-22 01:00,Long,2678.3,37,99097.1,3293,0.33,6105,0.62,-370,-0.04,5069,0.51
5,Exit long,2024-11-22 09:10,Long Exit,2698.6,37,99900,-666,-0.07,1036,0.10,-1332,-0.13,4403,0.44
5,Entry long,2024-11-22 07:45,Long,2700,37,99900,-666,-0.07,1036,0.10,-1332,-0.13,4403,0.44
6,Exit long,2024-11-22 09:45,Long Exit,2706.2,37,100018.4,962,0.10,2368,0.24,-111,-0.01,5365,0.54
6,Entry long,2024-11-22 09:30,Long,2703.2,37,100018.4,962,0.10,2368,0.24,-111,-0.01,5365,0.54
7,Exit long,2024-11-22 11:35,Long Exit,2700.7,37,100066.5,-1554,-0.16,74,0.01,-1776,-0.18,3811,0.38
7,Entry long,2024-11-22 11:30,Long,2704.5,37,100066.5,-1554,-0.16,74,0.01,-1776,-0.18,3811,0.38
8,Exit long,2024-11-22 14:00,Long Exit,2694,37,100088.7,-4255,-0.43,703,0.07,-5254,-0.52,-444,-0.04
8,Entry long,2024-11-22 11:40,Long,2705.1,37,100088.7,-4255,-0.43,703,0.07,-5254,-0.52,-444,-0.04
9,Exit long,2024-11-25 00:20,Long Exit,2718.3,36,97758,864,0.09,2736,0.28,-1116,-0.11,420,0.04
9,Entry long,2024-11-24 23:05,Long,2715.5,36,97758,864,0.09,2736,0.28,-1116,-0.11,420,0.04
10,Exit short,2024-11-25 01:10,Margin call,2706.1,1,2702.4,-41,-0.15,6,0.02,-39,-0.14,307,0.03
10,Entry short,2024-11-25 01:05,Short,2702.4,1,2702.4,-41,-0.15,6,0.02,-39,-0.14,307,0.03
11,Exit short,2024-11-25 01:15,Short Exit,2706.9,36,97286.4,-1764,-0.18,216,0.02,-1692,-0.17,-1385,-0.14
11,Entry short,2024-11-25 01:05,Short,2702.4,36,97286.4,-1764,-0.18,216,0.02,-1692,-0.17,-1385,-0.14
12,Exit short,2024-11-25 01:20,Short Exit,2704.9,36,97459.2,684,0.07,1440,0.15,0,0.00,-701,-0.07
12,Entry short,2024-11-25 01:15,Short,2707.2,36,97459.2,684,0.07,1440,0.15,0,0.00,-701,-0.07
13,Exit short,2024-11-25 01:35,Margin call,2701.2,1,2698.2,-34,-0.13,4,0.01,-32,-0.12,-807,-0.08
13,Entry short,2024-11-25 01:30,Short,2698.2,1,2698.2,-34,-0.13,4,0.01,-32,-0.12,-807,-0.08
14,Exit short,2024-11-25 02:00,Short Exit,2704.2,36,97135.2,-2304,-0.24,144,0.01,-2232,-0.23,-3039,-0.30
14,Entry short,2024-11-25 01:30,Short,2698.2,36,97135.2,-2304,-0.24,144,0.01,-2232,-0.23,-3039,-0.30
15,Exit short,2024-11-25 03:35,Short Exit,2673.4,36,97077.6,8208,0.85,12744,1.31,-1044,-0.11,5169,0.52
15,Entry short,2024-11-25 02:45,Short,2696.6,36,97077.6,8208,0.85,12744,1.31,-1044,-0.11,5169,0.52
16,Exit short,2024-11-25 06:05,Short Exit,2667.7,37,98793.7,740,0.07,3700,0.37,-777,-0.08,5909,0.59
16,Entry short,2024-11-25 05:30,Short,2670.1,37,98793.7,740,0.07,3700,0.37,-777,-0.08,5909,0.59
17,Exit short,2024-11-25 13:05,Short Exit,2684.2,37,99234,-962,-0.10,259,0.03,-1258,-0.13,4947,0.49
17,Entry short,2024-11-25 13:00,Short,2682,37,99234,-962,-0.10,259,0.03,-1258,-0.13,4947,0.49
18,Exit long,2024-11-25 13:30,Long Exit,2685.5,37,99378.3,-296,-0.03,1258,0.13,-925,-0.09,4651,0.47
18,Entry long,2024-11-25 13:10,Long,2685.9,37,99378.3,-296,-0.03,1258,0.13,-925,-0.09,4651,0.47
19,Exit short,2024-11-25 14:45,Short Exit,2643.1,37,98971.3,11618,1.17,14874,1.50,-444,-0.04,16269,1.63
19,Entry short,2024-11-25 14:00,Short,2674.9,37,98971.3,11618,1.17,14874,1.50,-444,-0.04,16269,1.63
20,Exit short,2024-11-25 18:30,Short Exit,2621.8,38,99636,-76,-0.01,1938,0.19,-190,-0.02,16193,1.62
20,Entry short,2024-11-25 18:15,Short,2622,38,99636,-76,-0.01,1938,0.19,-190,-0.02,16193,1.62
21,Exit short,2024-11-25 23:55,Short Exit,2610.4,38,99582.8,3724,0.37,5700,0.57,-684,-0.07,19917,1.99
21,Entry short,2024-11-25 23:35,Short,2620.6,38,99582.8,3724,0.37,5700,0.57,-684,-0.07,19917,1.99
22,Exit short,2024-11-26 01:30,Short Exit,2629.7,38,99757.6,-1862,-0.19,342,0.03,-1786,-0.18,18055,1.81
22,Entry short,2024-11-26 01:10,Short,2625.2,38,99757.6,-1862,-0.19,342,0.03,-1786,-0.18,18055,1.81
23,Exit short,2024-11-26 03:05,Short Exit,2628.2,38,99765.2,-1216,-0.12,0,0.00,-1368,-0.14,16839,1.68
23,Entry short,2024-11-26 03:00,Short,2625.4,38,99765.2,-1216,-0.12,0,0.00,-1368,-0.14,16839,1.68
24,Exit short,2024-11-26 05:35,Short Exit,2622.2,38,99643.6,-152,-0.02,1596,0.16,-988,-0.10,16687,1.67
24,Entry short,2024-11-26 05:10,Short,2622.2,38,99643.6,-152,-0.02,1596,0.16,-988,-0.10,16687,1.67
25,Exit short,2024-11-26 09:05,Short Exit,2616.6,38,99419.4,-266,-0.03,1976,0.20,-950,-0.10,16421,1.64
25,Entry short,2024-11-26 07:25,Short,2616.3,38,99419.4,-266,-0.03,1976,0.20,-950,-0.10,16421,1.64
26,Exit long,2024-11-26 11:10,Long Exit,2628.8,38,100027.4,-1482,-0.15,494,0.05,-1406,-0.14,14939,1.49
