Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-11-25 11:40,Short Exit,2689.4,2,5346.8,-328,-0.61,266,0.50,-324,-0.61,-328,-0.03
1,Entry short,2024-11-25 03:25,Short,2673.4,2,5346.8,-328,-0.61,266,0.50,-324,-0.61,-328,-0.03
2,Exit short,2024-11-25 23:45,EOD Close 21:00 UTC,2610.4,2,5219.6,-20,-0.04,0,0.00,-94,-0.18,-348,-0.03
2,Entry short,2024-11-25 23:40,Short,2609.8,2,5219.6,-20,-0.04,0,0.00,-94,-0.18,-348,-0.03
3,Exit short,2024-12-02 11:10,Short Exit,2662.8,2,5311,-154,-0.29,218,0.41,-150,-0.28,-502,-0.05
3,Entry short,2024-12-02 00:40,Short,2655.5,2,5311,-154,-0.29,218,0.41,-150,-0.28,-502,-0.05
4,Exit short,2024-12-06 03:10,Short Exit,2651.8,2,5285,-194,-0.37,136,0.26,-190,-0.36,-696,-0.07
4,Entry short,2024-12-06 01:05,Short,2642.5,2,5285,-194,-0.37,136,0.26,-190,-0.36,-696,-0.07
5,Exit long,2024-12-08 23:05,EOD Close 21:00 UTC,2666,2,5330,12,0.02,118,0.22,-14,-0.03,-684,-0.07
5,Entry long,2024-12-08 23:00,Long,2665,2,5330,12,0.02,118,0.22,-14,-0.03,-684,-0.07
6,Exit short,2024-12-17 18:45,Short Exit,2665.4,2,5318.4,-132,-0.25,262,0.49,-128,-0.24,-816,-0.08
6,Entry short,2024-12-17 08:55,Short,2659.2,2,5318.4,-132,-0.25,262,0.49,-128,-0.24,-816,-0.08
7,Exit short,2024-12-18 20:25,Short Exit,2613.4,2,5282.6,550,1.04,554,1.05,-6,-0.01,-266,-0.03
7,Entry short,2024-12-18 19:00,Short,2641.3,2,5282.6,550,1.04,554,1.05,-6,-0.01,-266,-0.03
8,Exit short,2025-01-08 19:20,Short Exit,2677.3,2,5335,-204,-0.38,40,0.07,-200,-0.37,-470,-0.05
8,Entry short,2025-01-08 17:35,Short,2667.5,2,5335,-204,-0.38,40,0.07,-200,-0.37,-470,-0.05
9,Exit short,2025-01-26 23:05,EOD Close 21:00 UTC,2771.8,2,5534.8,-96,-0.17,8,0.01,-96,-0.17,-566,-0.06
9,Entry short,2025-01-26 23:00,Short,2767.4,2,5534.8,-96,-0.17,8,0.01,-96,-0.17,-566,-0.06
10,Exit short,2025-02-02 23:05,EOD Close 21:00 UTC,2843.8,2,5676,-124,-0.22,16,0.03,-120,-0.21,-690,-0.07
10,Entry short,2025-02-02 23:00,Short,2838,2,5676,-124,-0.22,16,0.03,-120,-0.21,-690,-0.07
11,Exit short,2025-02-02 23:25,EOD Close 21:00 UTC,2837.9,2,5675.6,-10,-0.02,60,0.11,-36,-0.06,-700,-0.07
11,Entry short,2025-02-02 23:20,Short,2837.8,2,5675.6,-10,-0.02,60,0.11,-36,-0.06,-700,-0.07
12,Exit short,2025-02-02 23:35,EOD Close 21:00 UTC,2823.9,2,5659.2,106,0.19,142,0.25,-46,-0.08,-594,-0.06
12,Entry short,2025-02-02 23:30,Short,2829.6,2,5659.2,106,0.19,142,0.25,-46,-0.08,-594,-0.06
13,Exit long,2025-02-11 07:30,Long Exit,2935.1,2,5894.2,-248,-0.42,128,0.22,-244,-0.41,-842,-0.08
13,Entry long,2025-02-11 02:40,Long,2947.1,2,5894.2,-248,-0.42,128,0.22,-244,-0.41,-842,-0.08
14,Exit short,2025-02-20 21:00,EOD Close 21:00 UTC,2952.1,2,5914.6,96,0.16,352,0.60,-160,-0.27,-746,-0.07
14,Entry short,2025-02-20 12:20,Short,2957.3,2,5914.6,96,0.16,352,0.60,-160,-0.27,-746,-0.07
15,Exit short,2025-02-25 13:40,Short Exit,2948,2,5879.8,-170,-0.29,72,0.12,-166,-0.28,-916,-0.09
15,Entry short,2025-02-25 12:30,Short,2939.9,2,5879.8,-170,-0.29,72,0.12,-166,-0.28,-916,-0.09
16,Exit long,2025-03-02 23:05,EOD Close 21:00 UTC,2885,2,5768.6,6,0.01,26,0.05,-90,-0.16,-910,-0.09
16,Entry long,2025-03-02 23:00,Long,2884.3,2,5768.6,6,0.01,26,0.05,-90,-0.16,-910,-0.09
17,Exit long,2025-03-19 22:00,EOD Close 21:00 UTC,3058.8,2,6090.6,262,0.43,316,0.52,-60,-0.10,-648,-0.06
17,Entry long,2025-03-19 18:00,Long,3045.3,2,6090.6,262,0.43,316,0.52,-60,-0.10,-648,-0.06
18,Exit short,2025-04-02 06:40,Short Exit,3145.9,2,6282.8,-98,-0.16,22,0.04,-94,-0.15,-746,-0.07
18,Entry short,2025-04-02 06:30,Short,3141.4,2,6282.8,-98,-0.16,22,0.04,-94,-0.15,-746,-0.07
19,Exit short,2025-04-02 21:20,Short Exit,3166.2,2,6315,-182,-0.29,210,0.33,-240,-0.38,-928,-0.09
19,Entry short,2025-04-02 21:10,Short,3157.5,2,6315,-182,-0.29,210,0.33,-240,-0.38,-928,-0.09
20,Exit long,2025-04-02 23:00,EOD Close 21:00 UTC,3162.9,2,6342,-170,-0.27,602,0.95,-380,-0.60,-1098,-0.11
20,Entry long,2025-04-02 21:20,Long,3171,2,6342,-170,-0.27,602,0.95,-380,-0.60,-1098,-0.11
21,Exit short,2025-04-03 13:20,Short Exit,3104,2,6265.6,568,0.91,572,0.91,-136,-0.22,-530,-0.05
21,Entry short,2025-04-03 11:05,Short,3132.8,2,6265.6,568,0.91,572,0.91,-136,-0.22,-530,-0.05
22,Exit short,2025-04-03 13:50,Short Exit,3099.3,2,6176,-234,-0.38,116,0.19,-230,-0.37,-764,-0.08
22,Entry short,2025-04-03 13:30,Short,3088,2,6176,-234,-0.38,116,0.19,-230,-0.37,-764,-0.08
23,Exit short,2025-04-04 05:40,Short Exit,3124.3,2,6225.4,-240,-0.39,108,0.17,-236,-0.38,-1004,-0.10
23,Entry short,2025-04-04 03:35,Short,3112.7,2,6225.4,-240,-0.39,108,0.17,-236,-0.38,-1004,-0.10
24,Exit long,2025-04-04 12:45,Long Exit,3116,2,6258,-268,-0.43,624,1.00,-264,-0.42,-1272,-0.13
24,Entry long,2025-04-04 11:25,Long,3129,2,6258,-268,-0.43,624,1.00,-264,-0.42,-1272,-0.13
25,Exit long,2025-04-04 13:05,Long Exit,3116,2,6230.2,10,0.02,380,0.61,0,0.00,-1262,-0.13
25,Entry long,2025-04-04 12:45,Long,3115.1,2,6230.2,10,0.02,380,0.61,0,0.00,-1262,-0.13
26,Exit short,2025-04-04 15:45,Short Exit,3051.8,2,6199,946,1.53,950,1.53,-210,-0.34,-316,-0.03
26,Entry short,2025-04-04 13:35,Short,3099.5,2,6199,946,1.53,950,1.53,-210,-0.34,-316,-0.03
27,Exit short,2025-04-06 23:05,TP 3:1,3023.6,1,3042.2,182,0.60,530,1.74,-3,-0.01,-136,-0.01
27,Entry short,2025-04-06 23:00,Short,3042.2,1,3042.2,182,0.60,530,1.74,-3,-0.01,-136,-0.01
28,Exit short,2025-04-06 23:05,EOD Close 21:00 UTC,3023.6,1,3042.2,182,0.60,530,1.74,-3,-0.01,48,0.00
28,Entry short,2025-04-06 23:00,Short,3042.2,1,3042.2,182,0.60,530,1.74,-3,-0.01,48,0.00
29,Exit short,2025-04-06 23:25,EOD Close 21:00 UTC,3027.9,2,6048,-86,-0.14,2,0.00,-120,-0.20,-38,0.00
29,Entry short,2025-04-06 23:20,Short,3024,2,6048,-86,-0.14,2,0.00,-120,-0.20,-38,0.00
