Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-11-25 11:40,Short Exit,2689.4,2,5346.8,-328,-0.61,266,0.50,-324,-0.61,-328,-0.03
1,Entry short,2024-11-25 03:25,Short,2673.4,2,5346.8,-328,-0.61,266,0.50,-324,-0.61,-328,-0.03
2,Exit short,2024-11-26 00:20,Short Exit,2622.2,2,5219.6,-256,-0.49,84,0.16,-252,-0.48,-584,-0.06
2,Entry short,2024-11-25 23:40,Short,2609.8,2,5219.6,-256,-0.49,84,0.16,-252,-0.48,-584,-0.06
3,Exit short,2024-12-02 11:10,Short Exit,2662.8,2,5311,-154,-0.29,218,0.41,-150,-0.28,-738,-0.07
3,Entry short,2024-12-02 00:40,Short,2655.5,2,5311,-154,-0.29,218,0.41,-150,-0.28,-738,-0.07
4,Exit short,2024-12-06 03:10,Short Exit,2651.8,2,5285,-194,-0.37,136,0.26,-190,-0.36,-932,-0.09
4,Entry short,2024-12-06 01:05,Short,2642.5,2,5285,-194,-0.37,136,0.26,-190,-0.36,-932,-0.09
5,Exit long,2024-12-08 23:25,Long Exit,2660,2,5330,-108,-0.20,118,0.22,-104,-0.20,-1040,-0.10
5,Entry long,2024-12-08 23:00,Long,2665,2,5330,-108,-0.20,118,0.22,-104,-0.20,-1040,-0.10
6,Exit short,2024-12-17 18:45,Short Exit,2665.4,2,5318.4,-132,-0.25,262,0.49,-128,-0.24,-1172,-0.12
6,Entry short,2024-12-17 08:55,Short,2659.2,2,5318.4,-132,-0.25,262,0.49,-128,-0.24,-1172,-0.12
7,Exit short,2024-12-18 20:25,Short Exit,2613.4,2,5282.6,550,1.04,554,1.05,-6,-0.01,-624,-0.06
7,Entry short,2024-12-18 19:00,Short,2641.3,2,5282.6,550,1.04,554,1.05,-6,-0.01,-624,-0.06
8,Exit short,2024-12-18 20:25,Short Exit,2613.4,1,2631.5,177,0.67,179,0.68,-84,-0.32,-445,-0.04
8,Entry short,2024-12-18 19:05,Short,2631.5,1,2631.5,177,0.67,179,0.68,-84,-0.32,-445,-0.04
9,Exit short,2025-01-08 19:20,Short Exit,2677.3,2,5335,-204,-0.38,40,0.07,-200,-0.37,-649,-0.06
9,Entry short,2025-01-08 17:35,Short,2667.5,2,5335,-204,-0.38,40,0.07,-200,-0.37,-649,-0.06
10,Exit short,2025-01-27 17:10,Short Exit,2732.9,2,5534.8,682,1.23,686,1.24,-214,-0.39,33,0.00
10,Entry short,2025-01-26 23:00,Short,2767.4,2,5534.8,682,1.23,686,1.24,-214,-0.39,33,0.00
11,Exit short,2025-02-03 14:45,Short Exit,2859,2,5676,-428,-0.75,712,1.25,-424,-0.75,-399,-0.04
11,Entry short,2025-02-02 23:00,Short,2838,2,5676,-428,-0.75,712,1.25,-424,-0.75,-399,-0.04
12,Exit short,2025-02-03 14:45,Short Exit,2859,1,2837.8,-216,-0.76,354,1.25,-214,-0.75,-613,-0.06
12,Entry short,2025-02-02 23:20,Short,2837.8,1,2837.8,-216,-0.76,354,1.25,-214,-0.75,-613,-0.06
13,Exit short,2025-02-03 14:45,Short Exit,2859,1,2829.6,-298,-1.05,272,0.96,-296,-1.05,-909,-0.09
13,Entry short,2025-02-02 23:30,Short,2829.6,1,2829.6,-298,-1.05,272,0.96,-296,-1.05,-909,-0.09
14,Exit long,2025-02-11 07:30,Long Exit,2935.1,2,5894.2,-248,-0.42,128,0.22,-244,-0.41,-1157,-0.12
14,Entry long,2025-02-11 02:40,Long,2947.1,2,5894.2,-248,-0.42,128,0.22,-244,-0.41,-1157,-0.12
15,Exit short,2025-02-20 21:00,EOD Close 21:00 UTC,2952.1,2,5914.6,96,0.16,352,0.60,-160,-0.27,-1061,-0.11
15,Entry short,2025-02-20 12:20,Short,2957.3,2,5914.6,96,0.16,352,0.60,-160,-0.27,-1061,-0.11
16,Exit short,2025-02-25 13:40,Short Exit,2948,2,5879.8,-170,-0.29,72,0.12,-166,-0.28,-1231,-0.12
16,Entry short,2025-02-25 12:30,Short,2939.9,2,5879.8,-170,-0.29,72,0.12,-166,-0.28,-1231,-0.12
17,Exit long,2025-03-03 21:00,EOD Close 21:00 UTC,2901.9,2,5768.6,344,0.60,394,0.68,-314,-0.54,-887,-0.09
17,Entry long,2025-03-02 23:00,Long,2884.3,2,5768.6,344,0.60,394,0.68,-314,-0.54,-887,-0.09
18,Exit long,2025-03-20 10:30,Long Exit,3037.1,2,6090.6,-172,-0.28,400,0.66,-168,-0.28,-1059,-0.11
18,Entry long,2025-03-19 18:00,Long,3045.3,2,6090.6,-172,-0.28,400,0.66,-168,-0.28,-1059,-0.11
19,Exit short,2025-04-02 06:40,Short Exit,3145.9,2,6282.8,-98,-0.16,22,0.04,-94,-0.15,-1157,-0.12
19,Entry short,2025-04-02 06:30,Short,3141.4,2,6282.8,-98,-0.16,22,0.04,-94,-0.15,-1157,-0.12
20,Exit short,2025-04-02 21:20,Short Exit,3166.2,2,6315,-182,-0.29,210,0.33,-240,-0.38,-1339,-0.13
20,Entry short,2025-04-02 21:10,Short,3157.5,2,6315,-182,-0.29,210,0.33,-240,-0.38,-1339,-0.13
21,Exit long,2025-11-03 21:00,EOD Close 21:00 UTC,4022,2,6342,17012,26.82,24536,38.69,-4012,-6.33,15673,1.57
21,Entry long,2025-04-02 21:20,Long,3171,2,6342,17012,26.82,24536,38.69,-4012,-6.33,15673,1.57
22,Exit short,2025-11-04 00:40,Short Exit,3989.2,2,8019.8,406,0.51,410,0.51,-20,-0.02,16077,1.61
22,Entry short,2025-11-03 23:05,Short,4009.9,2,8019.8,406,0.51,410,0.51,-20,-0.02,16077,1.61
23,Exit short,2025-11-04 00:40,Short Exit,3989.2,1,3998.7,91,0.23,93,0.23,-120,-0.30,16170,1.62
23,Entry short,2025-11-03 23:10,Short,3998.7,1,3998.7,91,0.23,93,0.23,-120,-0.30,16170,1.62
24,Exit short,2025-11-04 02:55,Short Exit,3996.6,2,7975.2,-188,-0.24,54,0.07,-184,-0.23,15982,1.60
24,Entry short,2025-11-04 02:00,Short,3987.6,2,7975.2,-188,-0.24,54,0.07,-184,-0.23,15982,1.60
25,Exit short,2025-11-04 21:00,EOD Close 21:00 UTC,3944.3,2,7907,176,0.22,248,0.31,-20,-0.03,16156,1.62
25,Entry short,2025-11-04 18:30,Short,3953.5,2,7907,176,0.22,248,0.31,-20,-0.03,16156,1.62
26,Exit short,2025-11-04 21:00,EOD Close 21:00 UTC,3944.3,1,3944.5,-2,-0.01,34,0.09,-95,-0.24,16156,1.62
26,Entry short,2025-11-04 18:35,Short,3944.5,1,3944.5,-2,-0.01,34,0.09,-95,-0.24,16156,1.62
27,Exit long,2025-11-05 09:10,Long Exit,3985.7,2,7992.2,-216,-0.27,8,0.01,-212,-0.27,15940,1.59
27,Entry long,2025-11-05 08:05,Long,3996.1,2,7992.2,-216,-0.27,8,0.01,-212,-0.27,15940,1.59
28,Exit short,2025-11-05 13:05,Short Exit,3982,2,7942.4,-224,-0.28,124,0.16,-220,-0.28,15716,1.57
28,Entry short,2025-11-05 10:00,Short,3971.2,2,7942.4,-224,-0.28,124,0.16,-220,-0.28,15716,1.57
29,Exit short,2025-11-06 02:30,Short Exit,3992.2,2,7955.8,-294,-0.37,92,0.12,-290,-0.36,15422,1.54
29,Entry short,2025-11-05 23:00,Short,3977.9,2,7955.8,-294,-0.37,92,0.12,-290,-0.36,15422,1.54
30,Exit short,2025-11-06 17:40,Short Exit,3985.9,2,7951.2,-214,-0.27,44,0.06,-210,-0.26,15208,1.52
