Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-08-11 02:05,Short Exit,3434,2,6904.4,226.28,0.33,294.96,0.43,-129.04,-0.19,226.28,0.23
1,Entry short,2025-08-11 01:05,Short Entry,3452.2,2,6904.4,226.28,0.33,294.96,0.43,-129.04,-0.19,226.28,0.23
2,Exit long,2025-08-11 15:40,Long Exit,3401.8,2,6831.2,-412.35,-0.60,0,0.00,-344.31,-0.50,-186.07,-0.19
2,Entry long,2025-08-11 14:50,Long Entry,3415.6,2,6831.2,-412.35,-0.60,0,0.00,-344.31,-0.50,-186.07,-0.19
3,Exit long,2025-08-11 21:45,Long Exit,3396.5,2,6817.4,-380.1,-0.56,0,0.00,-312.17,-0.46,-566.18,-0.57
3,Entry long,2025-08-11 18:45,Long Entry,3408.7,2,6817.4,-380.1,-0.56,0,0.00,-312.17,-0.46,-566.18,-0.57
4,Exit long,2025-08-12 07:15,Long Exit,3395.1,2,6801.2,-245.91,-0.36,93.99,0.14,-178.01,-0.26,-812.09,-0.81
4,Entry long,2025-08-12 01:10,Long Entry,3400.6,2,6801.2,-245.91,-0.36,93.99,0.14,-178.01,-0.26,-812.09,-0.81
5,Exit long,2025-08-12 12:20,Long Exit,3390.7,2,6804.2,-363.86,-0.53,33.96,0.05,-296.04,-0.43,-1175.95,-1.18
5,Entry long,2025-08-12 08:35,Long Entry,3402.1,2,6804.2,-363.86,-0.53,33.96,0.05,-296.04,-0.43,-1175.95,-1.18
6,Exit long,2025-08-12 15:10,Long Exit,3386.9,2,6799.6,-393.73,-0.58,92,0.14,-326,-0.48,-1569.68,-1.57
6,Entry long,2025-08-12 13:35,Long Entry,3399.8,2,6799.6,-393.73,-0.58,92,0.14,-326,-0.48,-1569.68,-1.57
7,Exit short,2025-08-12 23:05,EOD Close 21:00 UTC,3401.1,2,6770,-457.72,-0.68,60.3,0.09,-585.7,-0.86,-2027.4,-2.03
7,Entry short,2025-08-12 15:15,Short Entry,3385,2,6770,-457.72,-0.68,60.3,0.09,-585.7,-0.86,-2027.4,-2.03
8,Exit short,2025-08-13 03:40,Short Exit,3403.7,2,6795.8,-252.03,-0.37,44.04,0.06,-183.96,-0.27,-2279.43,-2.28
8,Entry short,2025-08-13 01:10,Short Entry,3397.9,2,6795.8,-252.03,-0.37,44.04,0.06,-183.96,-0.27,-2279.43,-2.28
9,Exit short,2025-08-13 07:05,Short Exit,3402.2,2,6792.8,-251.97,-0.37,0,0.00,-183.93,-0.27,-2531.41,-2.53
9,Entry short,2025-08-13 06:40,Short Entry,3396.4,2,6792.8,-251.97,-0.37,0,0.00,-183.93,-0.27,-2531.41,-2.53
10,Exit long,2025-08-13 23:05,EOD Close 21:00 UTC,3406.6,2,6804.4,-48.18,-0.07,339.96,0.50,-108.04,-0.16,-2579.58,-2.58
10,Entry long,2025-08-13 07:10,Long Entry,3402.2,2,6804.4,-48.18,-0.07,339.96,0.50,-108.04,-0.16,-2579.58,-2.58
11,Exit short,2025-08-14 08:45,Short Exit,3397.9,2,6830,205.74,0.30,273.7,0.40,-170.3,-0.25,-2373.84,-2.37
11,Entry short,2025-08-14 02:25,Short Entry,3415,2,6830,205.74,0.30,273.7,0.40,-170.3,-0.25,-2373.84,-2.37
12,Exit long,2025-08-14 13:30,Long Exit,3393.5,2,6810.8,-373.98,-0.55,0,0.00,-306.11,-0.45,-2747.82,-2.75
12,Entry long,2025-08-14 10:20,Long Entry,3405.4,2,6810.8,-373.98,-0.55,0,0.00,-306.11,-0.45,-2747.82,-2.75
13,Exit short,2025-08-14 23:05,EOD Close 21:00 UTC,3383.1,2,6793.6,138.4,0.20,356.06,0.52,-251.94,-0.37,-2609.42,-2.61
13,Entry short,2025-08-14 13:35,Short Entry,3396.8,2,6793.6,138.4,0.20,356.06,0.52,-251.94,-0.37,-2609.42,-2.61
14,Exit long,2025-08-17 23:00,Long Exit,3377.9,2,6767.2,-249.23,-0.37,158.33,0.23,-181.67,-0.27,-2858.65,-2.86
14,Entry long,2025-08-15 01:55,Long Entry,3383.6,2,6767.2,-249.23,-0.37,158.33,0.23,-181.67,-0.27,-2858.65,-2.86
15,Exit long,2025-08-18 04:45,Long Exit,3397,2,6759,214.47,0.32,282.41,0.42,-81.59,-0.12,-2644.18,-2.64
