Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-08-11 02:05,Short Exit,3434,2,6904.4,226.28,0.33,294.96,0.43,-129.04,-0.19,226.28,0.23
1,Entry short,2025-08-11 01:05,Short Entry,3452.2,2,6904.4,226.28,0.33,294.96,0.43,-129.04,-0.19,226.28,0.23
2,Exit long,2025-08-11 15:40,Long Exit,3401.8,2,6831.2,-412.35,-0.60,0,0.00,-344.31,-0.50,-186.07,-0.19
2,Entry long,2025-08-11 14:50,Long Entry,3415.6,2,6831.2,-412.35,-0.60,0,0.00,-344.31,-0.50,-186.07,-0.19
3,Exit long,2025-08-11 21:45,Long Exit,3396.5,2,6817.4,-380.1,-0.56,0,0.00,-312.17,-0.46,-566.18,-0.57
3,Entry long,2025-08-11 18:45,Long Entry,3408.7,2,6817.4,-380.1,-0.56,0,0.00,-312.17,-0.46,-566.18,-0.57
4,Exit long,2025-08-12 07:15,Long Exit,3395.1,2,6801.2,-245.91,-0.36,93.99,0.14,-178.01,-0.26,-812.09,-0.81
4,Entry long,2025-08-12 01:10,Long Entry,3400.6,2,6801.2,-245.91,-0.36,93.99,0.14,-178.01,-0.26,-812.09,-0.81
5,Exit long,2025-08-12 12:20,Long Exit,3390.7,2,6804.2,-363.86,-0.53,33.96,0.05,-296.04,-0.43,-1175.95,-1.18
5,Entry long,2025-08-12 08:35,Long Entry,3402.1,2,6804.2,-363.86,-0.53,33.96,0.05,-296.04,-0.43,-1175.95,-1.18
6,Exit long,2025-08-12 15:10,Long Exit,3386.9,2,6799.6,-393.73,-0.58,92,0.14,-326,-0.48,-1569.68,-1.57
6,Entry long,2025-08-12 13:35,Long Entry,3399.8,2,6799.6,-393.73,-0.58,92,0.14,-326,-0.48,-1569.68,-1.57
7,Exit short,2025-08-12 15:15,Short Exit,3385,2,6769.4,-141.39,-0.21,0,0.00,-73.69,-0.11,-1711.07,-1.71
7,Entry short,2025-08-12 15:10,Short Entry,3384.7,2,6769.4,-141.39,-0.21,0,0.00,-73.69,-0.11,-1711.07,-1.71
8,Exit long,2025-08-14 15:05,Long Exit,3387.8,2,6812.8,-507.88,-0.74,279.87,0.41,-440.13,-0.65,-2218.96,-2.22
8,Entry long,2025-08-12 16:30,Long Entry,3406.4,2,6812.8,-507.88,-0.74,279.87,0.41,-440.13,-0.65,-2218.96,-2.22
9,Exit long,2025-08-17 23:00,Long Exit,3377.9,2,6767.2,-249.23,-0.37,158.33,0.23,-181.67,-0.27,-2468.19,-2.47
9,Entry long,2025-08-15 01:55,Long Entry,3383.6,2,6767.2,-249.23,-0.37,158.33,0.23,-181.67,-0.27,-2468.19,-2.47
10,Exit long,2025-08-18 04:45,Long Exit,3397,2,6759,214.47,0.32,282.41,0.42,-81.59,-0.12,-2253.72,-2.25
10,Entry long,2025-08-18 01:15,Long Entry,3379.5,2,6759,214.47,0.32,282.41,0.42,-81.59,-0.12,-2253.72,-2.25
11,Exit short,2025-08-18 14:35,Short Exit,3384.1,2,6793.8,120.38,0.18,188.06,0.28,-147.94,-0.22,-2133.34,-2.13
11,Entry short,2025-08-18 06:30,Short Entry,3396.9,2,6793.8,120.38,0.18,188.06,0.28,-147.94,-0.22,-2133.34,-2.13
12,Exit long,2025-08-19 00:25,Long Exit,3376.6,2,6759.2,-195.12,-0.29,0,0.00,-127.59,-0.19,-2328.46,-2.33
12,Entry long,2025-08-19 00:00,Long Entry,3379.6,2,6759.2,-195.12,-0.29,0,0.00,-127.59,-0.19,-2328.46,-2.33
13,Exit short,2025-08-19 01:10,Short Exit,3380.3,2,6753.4,-207.14,-0.31,52.47,0.08,-139.53,-0.21,-2535.6,-2.54
13,Entry short,2025-08-19 00:35,Short Entry,3376.7,2,6753.4,-207.14,-0.31,52.47,0.08,-139.53,-0.21,-2535.6,-2.54
14,Exit long,2025-08-19 01:15,Long Exit,3380.9,2,6765,-167.27,-0.25,0,0.00,-99.65,-0.15,-2702.87,-2.70
14,Entry long,2025-08-19 01:10,Long Entry,3382.5,2,6765,-167.27,-0.25,0,0.00,-99.65,-0.15,-2702.87,-2.70
15,Exit short,2025-08-19 04:05,Short Exit,3382.4,2,6748.6,-297.13,-0.44,0,0.00,-229.49,-0.34,-3000,-3.00
